symbol,kind,underlying,underlyingValue,timestamp,expiryDate,strikePrice,optionType,lastPrice,change,pChange,openInterest,changeInOI,totalTradedVolume,impliedVolatility,bidQty,bidPrice,askPrice,askQty,identifier
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,22950,PE,5.35,-0.8000000000000007,-13.008130081300823,1005,2,297,21.52,675,5.3,7,75,OPTIDXNIFTY30-12-2025PE22950.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23000,CE,3322,-52.59999999999991,-1.5587032537189567,10715.333333333334,-183,346,0,525,3322,3334.25,150,OPTIDXNIFTY30-12-2025CE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23000,PE,6.8,-0.2999999999999998,-4.225352112676054,36763.333333333336,91.66666666666667,7909,21.91,2175,6.8,6.95,150,OPTIDXNIFTY30-12-2025PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,31-Mar-2026,23000,CE,3775.95,-20.800000000000182,-0.5478369658260402,559,10,20,0,75,3737.95,3778.6,75,OPTIDXNIFTY31-03-2026CE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,31-Mar-2026,23000,PE,42,-4.100000000000001,-8.89370932754881,7279,392,1263,16.66,75,41.3,43,225,OPTIDXNIFTY31-03-2026PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,23000,CE,4196.8,0,0,11,0,0,0,450,3974.5,4415.3,450,OPTIDXNIFTY30-06-2026CE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,23000,PE,93,-3.4000000000000057,-3.526970954356852,3749.3333333333335,27,182,16.68,75,91.1,93.45,75,OPTIDXNIFTY30-06-2026PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Sep-2026,23000,PE,145,0,0,71,-12,12,17.12,75,132.75,306,75,OPTIDXNIFTY29-09-2026PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,23000,CE,4951,221,4.6723044397463,83,3,3,0,75,4800,5199.5,375,OPTIDXNIFTY29-12-2026CE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,23000,PE,174.5,-1.5500000000000114,-0.8804316955410458,2308.3333333333335,4,73,17.14,75,172.05,175.8,75,OPTIDXNIFTY29-12-2026PE23000.00
